timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734358785204,74,Che/msdownload/update/v3/static/trustedr/en/authrootstl.cab-120,200,OK,Carga Compra 1-213,text,true,,72283,196,136,136,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab?a5d4cb7bf61d5dd5,53,0,22
1734358785266,19,Che/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab-121,200,OK,Carga Compra 1-215,text,true,,5089,202,136,136,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?08a86fa52d044782,19,0,0
1734358785273,24,Che/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab-121,200,OK,Carga Compra 1-209,text,true,,5089,202,136,136,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?08a86fa52d044782,24,0,0
1734358785273,24,Che/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab-121,200,OK,Carga Compra 1-216,text,true,,5089,202,136,136,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?08a86fa52d044782,24,0,0
1734358785278,21,Che/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab-121,200,OK,Carga Compra 1-213,text,true,,5089,202,136,136,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?08a86fa52d044782,21,0,0
1734358785118,184,Checkout/actions/Order.action-122,200,,Carga Compra 1-198,text,true,,4239,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,184,0,0
1734358785122,185,Checkout/actions/Order.action-122,200,,Carga Compra 1-195,text,true,,4237,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,185,0,0
1734358785130,184,Checkout/actions/Order.action-122,200,,Carga Compra 1-193,text,true,,4239,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,184,0,0
1734358785272,43,Carga/generate_204-96,204,No Content,Carga Compra 1-331,,true,,127,310,136,136,http://www.gstatic.com/generate_204,0,0,22
1734358785136,181,Checkout/actions/Order.action-122,200,,Carga Compra 1-199,text,true,,4239,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,181,0,0
1734358785133,184,Checkout/actions/Order.action-122,200,,Carga Compra 1-194,text,true,,4241,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,184,0,0
